Wall time,Step,Value
1764974253.2246408,50000,205.0093536376953
1764974285.5915105,100000,315.2391662597656
1764974319.451928,150000,383.2102355957031
1764974352.5560558,200000,424.140625
1764974386.5840008,250000,460.760986328125
1764974419.7305713,300000,487.1338806152344
1764974453.0329325,350000,503.7909240722656
1764974486.1390276,400000,520.3203125
1764974520.4365013,450000,533.7399291992188
1764974555.2576492,500000,542.1967163085938
1764974588.7514834,550000,549.0302734375
1764974623.0055573,600000,553.8482055664062
1764974656.6333451,650000,558.2940063476562
1764974691.6911988,700000,561.1414794921875
1764974726.0219269,750000,566.1737670898438
1764974762.7632074,800000,564.2015991210938
1764974796.3623717,850000,568.3502807617188
1764974830.3783538,900000,570.6027221679688
1764974864.3078036,950000,570.0164184570312
1764974897.6887681,1000000,572.0318603515625
1764974932.4281142,1050000,573.6597900390625
1764974967.16925,1100000,571.3599243164062
1764975002.8384984,1150000,573.8634033203125
1764975038.108947,1200000,574.2396850585938
1764975073.2263927,1250000,574.5693359375
1764975108.087826,1300000,575.01611328125
1764975143.633614,1350000,575.8272094726562
1764975179.8392296,1400000,575.49072265625
1764975213.6025472,1450000,575.7058715820312
1764975250.6844144,1500000,577.2698364257812
1764975285.1322224,1550000,577.5880126953125
1764975321.7738922,1600000,578.107421875
1764975354.5746624,1650000,578.1221313476562
1764975386.8143065,1700000,577.473876953125
1764975421.1002965,1750000,578.2703857421875
1764975453.8432105,1800000,579.9830932617188
1764975488.23604,1850000,580.619384765625
1764975522.7597373,1900000,580.7171020507812
1764975556.9487236,1950000,579.1954345703125
1764975591.2169101,2000000,580.6620483398438
1764975625.5834384,2050000,581.6245727539062
1764975658.4312613,2100000,581.0661010742188
1764975695.6393702,2150000,582.34619140625
1764975728.514951,2200000,581.389892578125
1764975762.098837,2250000,584.49853515625
1764975794.989503,2300000,582.7614135742188
1764975829.6053054,2350000,582.8675537109375
1764975862.810695,2400000,584.3766479492188
1764975897.0741913,2450000,583.9976806640625
1764975930.5541723,2500000,583.1228637695312
1764975964.5024376,2550000,584.307861328125
1764975998.2035632,2600000,583.8817749023438
1764976032.30294,2650000,584.215087890625
1764976066.8142416,2700000,585.3899536132812
1764976100.9745796,2750000,586.2496337890625
1764976134.5476716,2800000,585.0150756835938
1764976167.7877767,2850000,585.3037109375
1764976203.1457777,2900000,585.2764892578125
1764976240.5254257,2950000,585.21630859375
1764976274.349282,3000000,586.5240478515625
