Wall time,Step,Value
1771346599.0359855,80000,136.0
1771346612.4205427,100000,125.16352081298828
1771346674.9496937,220000,103.59685516357422
1771346717.4767897,300000,73.47955322265625
1771346727.5166125,320000,65.98657989501953
1771346774.3398654,380000,45.87089157104492
1771346786.189477,400000,41.281185150146484
1771346803.8680923,420000,44.847381591796875
1771346834.7265282,460000,35.91697311401367
1771346847.130926,480000,32.778717041015625
1771346893.67074,540000,77.8779525756836
1771346902.0792856,560000,100.080810546875
1771347018.7590168,780000,147.11111450195312
1771347040.8001058,820000,159.2480010986328
1771347118.9862664,960000,165.8739471435547
1771347127.5467036,980000,163.95901489257812
1771347140.4697282,1000000,176.04464721679688
1771347162.0388136,1040000,180.61817932128906
1771347191.520289,1100000,175.49107360839844
1771347226.4384692,1160000,185.62962341308594
1771347256.1260304,1220000,182.2568817138672
1771347269.164057,1240000,188.49057006835938
1771347277.3177001,1260000,188.10377502441406
1771347291.059553,1280000,185.78504943847656
1771347311.7446516,1320000,186.09434509277344
1771347320.1642897,1340000,178.01785278320312
1771347333.795531,1360000,185.77569580078125
1771347341.5514858,1380000,184.23147583007812
1771347363.0050097,1420000,179.9819793701172
1771347376.5125706,1440000,180.9727325439453
1771347436.1097848,1560000,183.52777099609375
1771347457.3565006,1600000,184.2870330810547
1771347471.0268831,1620000,183.50926208496094
1771347492.4711185,1660000,168.7008514404297
1771347522.179036,1720000,182.3272705078125
1771347564.5731757,1800000,191.8076934814453
1771347672.45125,2000000,182.93577575683594
1771347686.0527768,2020000,186.03738403320312
1771347715.8513641,2080000,170.60345458984375
1771347750.678811,2140000,180.63636779785156
1771347758.8777406,2160000,172.71304321289062
1771347780.1653845,2200000,174.99122619628906
1771347853.0852308,2340000,165.78334045410156
1771347909.2794778,2440000,156.51181030273438
1771347952.2306795,2520000,174.7964630126953
1771347960.641513,2540000,173.83477783203125
1771347981.8563075,2580000,170.55555725097656
1771348003.0929596,2620000,159.39515686035156
1771348016.4978344,2640000,169.70338439941406
1771348067.6359396,2740000,176.98214721679688
1771348080.9920354,2760000,162.3688507080078
1771348154.2543156,2900000,171.23077392578125
1771348176.3209927,2940000,160.26612854003906
1771348189.7281277,2960000,173.30435180664062
1771348219.6573155,3020000,175.3826141357422
1771348292.767238,3160000,157.5079345703125
1771348327.2718601,3220000,147.5
1771348349.1067543,3260000,161.4596710205078
1771348370.8218677,3300000,152.11538696289062
1771348435.5353692,3420000,152.42308044433594
1771348443.5377889,3440000,168.91525268554688
1771348457.0763037,3460000,159.04762268066406
1771348487.0575793,3520000,161.8292694091797
1771348500.6062276,3540000,156.968505859375
1771348508.2138414,3560000,158.5679931640625
1771348551.955845,3640000,168.0
1771348586.953353,3700000,153.17054748535156
1771348594.9153345,3720000,162.31707763671875
1771348608.6678934,3740000,164.6999969482422
1771348646.7299144,3820000,159.9040069580078
1771348659.5535462,3840000,163.31405639648438
1771348667.6266973,3860000,166.0504150390625
1771348746.008583,4000000,165.4710693359375
1771348775.9984922,4060000,166.64999389648438
1771348788.6941533,4080000,168.4915313720703
1771348797.0863645,4100000,147.8656768798828
1771348811.0358806,4120000,155.53125
1771348831.9687111,4160000,140.6571502685547
1771348853.971644,4200000,149.742431640625
1771348875.3988025,4240000,166.35000610351562
1771348896.9932168,4280000,152.33587646484375
1771348918.0028248,4320000,157.45237731933594
1771348926.4369118,4340000,145.72793579101562
1771348960.9601104,4400000,146.6764678955078
1771348969.7274804,4420000,143.86956787109375
1771348982.9852576,4440000,165.0416717529297
1771348991.162346,4460000,152.6335906982422
1771349012.9966736,4500000,159.93600463867188
1771349064.427848,4600000,158.2857208251953
1771349172.23181,4800000,159.9918670654297
1771349193.3908083,4840000,149.4253692626953
1771349228.61173,4900000,149.96212768554688
1771349236.784574,4920000,157.6614227294922
1771349250.4041116,4940000,157.2142791748047
1771349336.966187,5100000,159.74192810058594
1771349380.021986,5180000,156.55555725097656
1771349388.2996278,5200000,153.45384216308594
1771349401.2000258,5220000,141.08570861816406
1771349423.074661,5260000,139.7816925048828
1771349505.335555,5420000,152.5076904296875
1771349518.6767666,5440000,148.84327697753906
1771349548.2368147,5500000,144.21014404296875
1771349570.4120343,5540000,161.8699188232422
1771349591.3697333,5580000,142.446044921875
1771349612.8347154,5620000,149.90225219726562
1771349634.689674,5660000,151.96946716308594
1771349648.116603,5680000,147.4626922607422
1771349670.2184026,5720000,143.67625427246094
1771349691.9254642,5760000,150.21212768554688
1771349700.1545682,5780000,151.19847106933594
1771349721.5034564,5820000,146.9699249267578
1771349778.4916823,5920000,144.91241455078125
1771349786.4952462,5940000,153.3023223876953
1771349800.1213455,5960000,144.8115997314453
1771349808.2732444,5980000,153.03875732421875
1771349894.3646395,6140000,152.95384216308594
1771349915.7437773,6180000,144.4927520751953
1771349924.2057912,6200000,147.22962951660156
1771349958.7682524,6260000,144.1313934326172
1771350001.7828765,6340000,150.6287841796875
1771350023.7761807,6380000,147.77777099609375
1771350031.5038788,6400000,136.86805725097656
1771350066.721955,6460000,146.0441131591797
1771350088.0340598,6500000,154.828125
1771350139.550157,6600000,154.4921875
1771350160.9576044,6640000,148.30075073242188
1771350174.2577927,6660000,153.89230346679688
1771350225.2006595,6760000,162.45901489257812
1771350239.258577,6780000,141.57142639160156
1771350260.6649728,6820000,144.17391967773438
1771350290.6537526,6880000,140.41549682617188
1771350312.1134365,6920000,152.484619140625
1771350319.8887315,6940000,145.9853973388672
1771350363.105106,7020000,142.13668823242188
1771350385.0786061,7060000,143.82481384277344
1771350406.645092,7100000,145.8235321044922
1771350449.6597557,7180000,141.0
1771350492.8752875,7260000,140.9014129638672
1771350506.1722481,7280000,132.85134887695312
1771350514.8837068,7300000,133.32000732421875
1771350527.8468518,7320000,135.3150634765625
1771350536.121514,7340000,134.60000610351562
1771350549.3730896,7360000,137.17481994628906
1771350622.2128828,7500000,136.123291015625
1771350657.6223838,7560000,141.37588500976562
1771350665.3379872,7580000,139.8098602294922
1771350752.3965552,7740000,127.79486846923828
1771350794.823215,7820000,132.55628967285156
1771350803.2555294,7840000,130.6907958984375
1771350816.599762,7860000,134.86300659179688
1771350824.6875317,7880000,139.2028045654297
1771350838.0331109,7900000,131.73509216308594
1771350868.1062202,7960000,127.7032241821289
1771350924.9478571,8060000,123.63522338867188
1771350946.458476,8100000,135.4109649658203
1771350989.4718075,8180000,129.8235321044922
1771350997.966214,8200000,130.8486785888672
1771351041.4687767,8280000,128.77272033691406
1771351054.4062247,8300000,133.48648071289062
1771351062.4497583,8320000,141.1702117919922
1771351097.1949944,8380000,136.70138549804688
1771351127.0170538,8440000,133.1342315673828
1771351134.863527,8460000,131.4013214111328
1771351170.1149335,8520000,134.3581085205078
1771351178.229091,8540000,125.0943374633789
1771351221.5698013,8620000,126.2911376953125
1771351277.5945585,8720000,136.2137908935547
1771351286.005324,8740000,138.77622985839844
1771351299.6473036,8760000,135.4729766845703
1771351321.119893,8800000,132.42666625976562
1771351328.9302511,8820000,131.00662231445312
1771351342.7975233,8840000,131.10595703125
1771351364.8864691,8880000,129.14935302734375
1771351372.9087045,8900000,131.4569549560547
1771351386.1918023,8920000,130.24342346191406
1771351394.235558,8940000,128.3441619873047
1771351437.4460464,9020000,123.90625
1771351458.875602,9060000,123.69999694824219
1771351472.5759299,9080000,128.1558380126953
1771351480.8424609,9100000,115.77906799316406
1771351502.195706,9140000,125.01886749267578
1771351544.847872,9220000,136.15646362304688
1771351553.1095746,9240000,124.89240264892578
1771351596.6786544,9320000,137.75
1771351610.2778554,9340000,122.88957214355469
1771351631.676783,9380000,132.17999267578125
1771351653.226212,9420000,134.96575927734375
1771351696.5193338,9500000,115.72674560546875
1771351704.931926,9520000,119.0898208618164
1771351740.3510659,9580000,119.49102020263672
1771351748.5514452,9600000,124.73124694824219
1771351761.9489849,9620000,125.90445709228516
1771351770.0115047,9640000,122.13580322265625
1771351792.0976899,9680000,118.17646789550781
1771351805.183586,9700000,116.3372802734375
1771351835.2173831,9760000,121.69136047363281
1771351848.61715,9780000,121.79268646240234
1771351857.0772588,9800000,130.50657653808594
1771351878.7391145,9840000,118.05952453613281
1771351913.618966,9900000,118.12574768066406
1771351957.004179,9980000,132.07284545898438
1771351994.871365,10060000,129.59210205078125
1771352008.2089946,10080000,133.06666564941406
1771352038.185737,10140000,120.90908813476562
1771352073.1054714,10200000,125.1624984741211
1771352081.2866192,10220000,121.98773193359375
1771352094.461079,10240000,128.81698608398438
1771352102.7353714,10260000,122.46625518798828
1771352116.430765,10280000,108.52486419677734
1771352124.4612465,10300000,124.73584747314453
1771352158.972977,10360000,133.8926239013672
1771352167.044761,10380000,117.92215728759766
1771352180.688197,10400000,124.3499984741211
1771352188.9741333,10420000,128.3225860595703
1771352223.840327,10480000,123.42500305175781
1771352296.5278592,10620000,120.81594848632812
1771352331.9498708,10680000,111.93220520019531
1771352340.302024,10700000,119.7757568359375
1771352362.256935,10740000,125.94303894042969
1771352375.6553948,10760000,123.20987701416016
