Wall time,Step,Value
1771067595.3602707,80000,-1.9557563066482544
1771067609.2760813,100000,-1.9151676893234253
1771067672.0542958,220000,4.687221050262451
1771067713.8798478,300000,10.14560604095459
1771067724.9245956,320000,10.62100601196289
1771067772.3396075,380000,10.892097473144531
1771067784.6781075,400000,11.014169692993164
1771067802.9636402,420000,10.622827529907227
1771067834.9233046,460000,10.348694801330566
1771067848.045734,480000,11.161399841308594
1771067897.3439775,540000,-359.03509521484375
1771067905.3096626,560000,-1236.7755126953125
1771068027.9699888,780000,-1257.3326416015625
1771068044.099872,820000,-1172.71044921875
1771068123.567566,960000,-1087.3321533203125
1771068132.0481062,980000,-1172.4688720703125
1771068145.2964494,1000000,-1117.6302490234375
1771068167.0305052,1040000,-1055.6416015625
1771068196.7585502,1100000,-1050.8173828125
1771068231.721952,1160000,-1124.5018310546875
1771068261.9404204,1220000,-1057.1082763671875
1771068275.1728225,1240000,-1016.6671142578125
1771068283.51775,1260000,-1053.3751220703125
1771068296.9990835,1280000,-1020.1646118164062
1771068318.783151,1320000,-973.185791015625
1771068326.9749563,1340000,-1027.9359130859375
1771068340.9507146,1360000,-1048.501708984375
1771068349.2229521,1380000,-1047.0999755859375
1771068371.155263,1420000,-1024.1982421875
1771068384.7652538,1440000,-1025.384033203125
1771068444.0905018,1560000,-916.6363525390625
1771068466.2281976,1600000,-929.2919311523438
1771068480.4285355,1620000,-999.2103881835938
1771068502.3471508,1660000,-951.5288696289062
1771068532.7939613,1720000,-877.31640625
1771068577.1380677,1800000,-873.173095703125
1771068688.2218378,2000000,-862.263427734375
1771068701.5274343,2020000,-789.524658203125
1771068731.3450494,2080000,-861.1393432617188
1771068766.0957975,2140000,-891.1475219726562
1771068774.2690494,2160000,-782.4107055664062
1771068795.805416,2200000,-961.1815185546875
1771068869.5418978,2340000,-780.4816284179688
1771068926.7970557,2440000,-832.0659790039062
1771068969.5958397,2520000,-887.32080078125
1771068977.5751004,2540000,-977.9338989257812
1771068998.7952988,2580000,-874.9893798828125
1771069020.3054204,2620000,-826.0265502929688
1771069033.769898,2640000,-962.4956665039062
1771069084.4168925,2740000,-889.2408447265625
1771069098.4590356,2760000,-743.490966796875
1771069171.9620137,2900000,-862.7476196289062
1771069194.1290104,2940000,-771.5382080078125
1771069207.907004,2960000,-783.8453369140625
1771069237.8811898,3020000,-830.3079223632812
1771069311.6552632,3160000,-686.96923828125
1771069346.897077,3220000,-724.0916748046875
1771069369.4556105,3260000,-701.7479248046875
1771069390.8949423,3300000,-769.5138549804688
1771069457.3105667,3420000,-814.125732421875
1771069465.342601,3440000,-584.1161499023438
1771069479.1598146,3460000,-783.8973999023438
1771069509.3365982,3520000,-853.3829345703125
1771069522.8676047,3540000,-819.5907592773438
1771069530.9451656,3560000,-692.6769409179688
1771069575.179598,3640000,-767.5421142578125
1771069610.2181914,3700000,-728.210205078125
1771069618.5656774,3720000,-661.4463500976562
1771069632.0998132,3740000,-616.8668212890625
1771069675.510131,3820000,-629.6878662109375
1771069683.4833605,3840000,-656.7928466796875
1771069691.7683425,3860000,-755.0337524414062
1771069771.4677978,4000000,-595.8753051757812
1771069801.3077826,4060000,-471.59637451171875
1771069814.4795156,4080000,-651.4135131835938
1771069822.067806,4100000,-718.6768798828125
1771069835.4286947,4120000,-585.4347534179688
1771069856.561648,4160000,-726.0069580078125
1771069878.1648104,4200000,-598.1009521484375
1771069899.8081524,4240000,-564.9147338867188
1771069921.6918724,4280000,-613.296142578125
1771069943.3448827,4320000,-675.9133911132812
1771069951.4614394,4340000,-591.5010375976562
1771069986.11442,4400000,-527.3966674804688
1771069993.7127774,4420000,-639.7788696289062
1771070007.3164818,4440000,-666.3611450195312
1771070015.4203444,4460000,-570.5870971679688
1771070036.9446776,4500000,-564.2877807617188
1771070093.824359,4600000,-696.2000732421875
1771070197.7269275,4800000,-662.1229858398438
1771070219.6092622,4840000,-536.5518798828125
1771070255.4064703,4900000,-508.1908874511719
1771070263.3436825,4920000,-573.6366577148438
1771070277.1407495,4940000,-583.8098754882812
1771070364.7653072,5100000,-476.00579833984375
1771070408.6402006,5180000,-440.9969787597656
1771070416.348487,5200000,-444.4798889160156
1771070429.7713237,5220000,-480.27069091796875
