Wall time,Step,Value
1771457243.9346614,80000,-1.8315173387527466
1771457256.922647,100000,-0.8271335959434509
1771457319.276349,220000,3.4227705001831055
1771457360.9591064,300000,8.543274879455566
1771457369.493259,320000,8.818685531616211
1771457417.913485,380000,10.405176162719727
1771457430.8032827,400000,11.23539924621582
1771457447.8981545,420000,10.40527629852295
1771457477.7520854,460000,11.231912612915039
1771457490.7650547,480000,10.639707565307617
1771457540.5230107,540000,10.928071022033691
1771457553.6448133,560000,-714.5074462890625
1771457670.362629,780000,-3290.548095703125
1771457692.4636168,820000,-3355.935791015625
1771457770.1258945,960000,-3967.88330078125
1771457778.4733503,980000,-3499.5029296875
1771457791.6179352,1000000,-3744.188232421875
1771457813.4806345,1040000,-3539.7880859375
1771457842.9153385,1100000,-3964.654296875
1771457877.9010692,1160000,-3831.519287109375
1771457907.695753,1220000,-3711.548828125
1771457921.2229388,1240000,-3841.597900390625
1771457929.2807596,1260000,-3627.318115234375
1771457942.5877862,1280000,-4034.81396484375
1771457964.6051388,1320000,-3991.4833984375
1771457972.712581,1340000,-3649.249267578125
1771457985.8617485,1360000,-3732.90087890625
1771457994.06568,1380000,-3852.224365234375
1771458015.655192,1420000,-3737.431396484375
1771458028.801083,1440000,-3846.2490234375
1771458088.9416225,1560000,-3533.4150390625
1771458110.292443,1600000,-3699.978271484375
1771458123.7713017,1620000,-3721.092529296875
1771458145.3547764,1660000,-3601.297119140625
1771458175.3078513,1720000,-3677.493408203125
1771458218.331519,1800000,-3448.901123046875
1771458327.211339,2000000,-3757.215576171875
1771458341.0500958,2020000,-3561.1396484375
1771458371.2466717,2080000,-3063.38720703125
1771458405.9179683,2140000,-3445.028076171875
1771458414.1176836,2160000,-3675.5439453125
1771458435.4901645,2200000,-3306.827880859375
1771458509.1583855,2340000,-3532.188720703125
1771458565.7351716,2440000,-3118.105712890625
1771458610.556642,2520000,-3060.0478515625
1771458618.9890683,2540000,-2671.75048828125
1771458639.9133,2580000,-2972.36865234375
1771458661.5278292,2620000,-3239.940185546875
1771458675.1834204,2640000,-3426.54443359375
1771458726.844015,2740000,-3263.238037109375
1771458740.50911,2760000,-3032.4365234375
1771458814.2325914,2900000,-2901.008544921875
1771458836.1595142,2940000,-2882.647705078125
1771458849.7799876,2960000,-3007.513671875
1771458879.2647338,3020000,-3025.9736328125
1771458952.5838716,3160000,-3183.5068359375
1771458987.5077589,3220000,-2876.019287109375
1771459009.556701,3260000,-2891.42333984375
1771459030.9922562,3300000,-3241.55224609375
1771459096.1020803,3420000,-2513.738525390625
1771459104.5340211,3440000,-2450.184326171875
1771459117.5613432,3460000,-2505.0068359375
1771459147.663991,3520000,-3156.030517578125
1771459161.1729302,3540000,-2726.70947265625
1771459169.4985557,3560000,-2854.09814453125
1771459212.5376236,3640000,-2867.699951171875
1771459247.7690907,3700000,-2838.557373046875
1771459256.3203485,3720000,-2317.880126953125
1771459269.5241094,3740000,-2833.677490234375
1771459312.7963567,3820000,-2936.62109375
1771459320.9588373,3840000,-3147.105712890625
1771459329.4268422,3860000,-2541.265380859375
1771459408.234984,4000000,-2329.433837890625
1771459438.1952507,4060000,-2554.154296875
1771459451.726792,4080000,-2942.91748046875
1771459459.7980723,4100000,-2381.502197265625
1771459473.3976614,4120000,-2210.475830078125
1771459495.0944881,4160000,-2528.450927734375
1771459516.4400444,4200000,-2132.157470703125
1771459538.138595,4240000,-2703.266357421875
1771459559.0471947,4280000,-2335.836181640625
1771459580.907288,4320000,-2831.100830078125
1771459588.9681342,4340000,-2257.78173828125
1771459624.17009,4400000,-2802.182373046875
1771459632.1685133,4420000,-2400.295654296875
1771459645.4445393,4440000,-2912.84423828125
1771459654.050869,4460000,-2721.228515625
1771459675.6041508,4500000,-2421.181884765625
1771459732.305522,4600000,-2284.91748046875
1771459834.7124197,4800000,-2678.369873046875
1771459856.600081,4840000,-2373.284912109375
1771459892.185319,4900000,-2370.829345703125
1771459900.2974994,4920000,-2340.85107421875
1771459913.411593,4940000,-3099.856689453125
1771460000.471053,5100000,-2870.3798828125
1771460043.507216,5180000,-1845.84765625
1771460051.8040798,5200000,-2545.990234375
1771460065.0526078,5220000,-2200.1845703125
1771460086.5097246,5260000,-2116.939208984375
1771460167.2880373,5420000,-2196.87353515625
