Wall time,Step,Value
1771346599.0234032,80000,-3.174041509628296
1771346612.4066093,100000,1.2068839073181152
1771346674.9354217,220000,5.827482223510742
1771346717.4628577,300000,8.310461044311523
1771346727.5031075,320000,10.248697280883789
1771346774.3265097,380000,11.078784942626953
1771346786.1732848,400000,10.204944610595703
1771346803.8626714,420000,9.915128707885742
1771346834.7130878,460000,11.105067253112793
1771346847.1173208,480000,10.586362838745117
1771346893.6538208,540000,-5509.37939453125
1771346902.0560107,560000,-6649.8203125
1771347018.73428,780000,-7138.35205078125
1771347040.7738335,820000,-7573.74560546875
1771347118.9566476,960000,-7352.41845703125
1771347127.5160666,980000,-7327.15966796875
1771347140.445225,1000000,-7377.7431640625
1771347162.0089633,1040000,-7724.166015625
1771347191.4918535,1100000,-7620.0107421875
1771347226.4083269,1160000,-7747.6474609375
1771347256.0992463,1220000,-7626.19921875
1771347269.1346202,1240000,-7756.4970703125
1771347277.287469,1260000,-7712.01318359375
1771347291.0295715,1280000,-7778.3828125
1771347311.7160492,1320000,-7804.4931640625
1771347320.1367393,1340000,-7707.58154296875
1771347333.7723074,1360000,-7788.501953125
1771347341.5256395,1380000,-7722.54736328125
1771347362.976111,1420000,-7566.07275390625
1771347376.483343,1440000,-7690.40087890625
1771347436.0831823,1560000,-7668.416015625
1771347457.3324912,1600000,-7672.43896484375
1771347471.0032446,1620000,-7747.5302734375
1771347492.4431648,1660000,-7428.3828125
1771347522.1496036,1720000,-7791.5146484375
1771347564.5482452,1800000,-7831.8095703125
1771347672.4258094,2000000,-7689.3154296875
1771347686.0246794,2020000,-7834.07275390625
1771347715.8239803,2080000,-7153.09130859375
1771347750.6546516,2140000,-7678.93505859375
1771347758.849715,2160000,-7287.68310546875
1771347780.1384416,2200000,-7547.20361328125
1771347853.0537074,2340000,-7114.259765625
1771347909.2733738,2440000,-6813.451171875
1771347952.2060964,2520000,-7619.34375
1771347960.6112242,2540000,-7688.22021484375
1771347981.823759,2580000,-7646.341796875
1771348003.0630677,2620000,-6957.38427734375
1771348016.4711602,2640000,-7516.18017578125
1771348067.6124518,2740000,-7666.16943359375
1771348080.9684856,2760000,-7186.84033203125
1771348154.2295985,2900000,-7557.4794921875
1771348176.2893102,2940000,-6433.33349609375
1771348189.6986525,2960000,-7087.353515625
1771348219.6308115,3020000,-7070.0595703125
1771348292.7394836,3160000,-6942.9970703125
1771348327.2665243,3220000,-6660.93994140625
1771348349.0790656,3260000,-6830.73828125
1771348370.7966943,3300000,-6177.95458984375
1771348435.506614,3420000,-6441.849609375
1771348443.508395,3440000,-6998.9443359375
1771348457.048763,3460000,-6527.7978515625
1771348487.0323288,3520000,-6619.28955078125
1771348500.582143,3540000,-6628.0927734375
1771348508.1906195,3560000,-6464.99951171875
1771348551.9293525,3640000,-6901.3642578125
1771348586.9223034,3700000,-6092.34765625
1771348594.8864696,3720000,-6605.97119140625
1771348608.640004,3740000,-6638.92724609375
1771348646.7015421,3820000,-6816.080078125
1771348659.5286806,3840000,-6719.51123046875
1771348667.5976145,3860000,-6211.51171875
1771348745.9788682,4000000,-6548.54541015625
1771348775.9665506,4060000,-6727.0322265625
1771348788.6675022,4080000,-6841.1044921875
1771348797.0568094,4100000,-5601.849609375
1771348811.0060968,4120000,-6097.1181640625
1771348831.9391692,4160000,-5303.775390625
1771348853.941211,4200000,-5560.5517578125
1771348875.374618,4240000,-6835.87744140625
1771348896.966744,4280000,-6284.04736328125
1771348917.9757097,4320000,-6091.42431640625
1771348926.4084508,4340000,-6073.181640625
1771348960.9295664,4400000,-6022.2734375
1771348969.6967998,4420000,-6227.33154296875
1771348982.9600363,4440000,-6534.3115234375
1771348991.1325495,4460000,-6253.29443359375
1771349012.966854,4500000,-6585.10498046875
1771349064.3961391,4600000,-6043.326171875
1771349172.2050602,4800000,-6409.529296875
1771349193.3597167,4840000,-5721.33740234375
1771349228.5835168,4900000,-5945.4111328125
1771349236.758903,4920000,-6289.7333984375
1771349250.3779366,4940000,-6153.50439453125
1771349336.937113,5100000,-6104.0517578125
1771349379.9919355,5180000,-6379.0
1771349388.2687044,5200000,-6086.27490234375
1771349401.1763322,5220000,-5935.25634765625
1771349423.0475912,5260000,-5282.46484375
1771349505.3089848,5420000,-6089.90869140625
1771349518.6514382,5440000,-5597.81884765625
1771349548.2123902,5500000,-5483.0546875
1771349570.3796427,5540000,-6485.6875
1771349591.3430147,5580000,-5357.57080078125
1771349612.811252,5620000,-5416.158203125
1771349634.6646378,5660000,-5782.947265625
1771349648.0909579,5680000,-5870.6181640625
1771349670.1887517,5720000,-5323.98876953125
1771349691.895985,5760000,-5865.84326171875
1771349700.1240425,5780000,-5720.83544921875
1771349721.4741552,5820000,-5242.24169921875
1771349778.4633753,5920000,-5337.74951171875
1771349786.4660187,5940000,-5353.20703125
1771349800.0972512,5960000,-4928.6181640625
1771349808.243597,5980000,-5965.41845703125
1771349894.3413775,6140000,-5084.41943359375
1771349915.717229,6180000,-5218.11865234375
1771349924.1772108,6200000,-5025.5791015625
1771349958.7426777,6260000,-4838.43408203125
1771350001.7609522,6340000,-5265.47900390625
1771350023.7467227,6380000,-5706.1826171875
1771350031.4760988,6400000,-4634.59033203125
1771350066.6953144,6460000,-5450.4345703125
1771350088.0124357,6500000,-5585.1796875
1771350139.5252872,6600000,-5415.4697265625
1771350160.9307234,6640000,-5239.49365234375
