Wall time,Step,Value
1767390136.6994662,10000,-659.8009033203125
1767390144.9296806,20000,-405.52423095703125
1767390148.2378674,30000,-371.5382995605469
1767390155.6683993,40000,-384.1820373535156
1767390163.0619822,50000,-344.0509948730469
1767390166.6744013,60000,-325.4949951171875
1767390173.7918432,70000,-304.4239196777344
1767390181.0061896,80000,-303.43109130859375
1767390184.6899972,90000,-293.7244567871094
1767390191.544825,100000,-279.9681701660156
1767390198.9447227,110000,-287.40277099609375
1767390202.9907758,120000,-283.9376220703125
1767390209.97076,130000,-321.4686279296875
1767390217.0927634,140000,-263.6481628417969
1767390221.264476,150000,-257.84912109375
1767390227.9055572,160000,-279.7932434082031
1767390233.7368522,170000,-239.5256805419922
1767390239.7854035,180000,-253.08335876464844
1767390246.5758076,190000,-244.7084197998047
1767390251.9102962,200000,-236.90065002441406
1767390257.8417752,210000,-221.82398986816406
1767390265.0227084,220000,-245.28675842285156
1767390269.9490845,230000,-226.9592742919922
1767390276.3619187,240000,-222.24082946777344
1767390288.280334,250000,-218.10638427734375
1767390301.0448902,260000,-198.48182678222656
1767390319.4305215,270000,-203.57203674316406
1767390337.5464544,280000,-202.07020568847656
1767390350.442004,290000,-211.42654418945312
1767390368.356103,300000,-183.34521484375
1767390382.0437875,310000,-184.76942443847656
1767390400.0064116,320000,-206.4453125
1767390418.7521102,330000,-182.2812957763672
1767390431.410052,340000,-182.34059143066406
1767390450.0474455,350000,-193.05128479003906
1767390468.444056,360000,-180.35023498535156
1767390481.110027,370000,-174.97093200683594
1767390498.9183455,380000,-171.7494659423828
1767390517.6851294,390000,-167.74400329589844
1767390530.4064803,400000,-179.9945831298828
1767390549.463841,410000,-150.89515686035156
1767390566.9911416,420000,-154.99180603027344
1767390580.886696,430000,-164.93814086914062
1767390598.9787655,440000,-143.79319763183594
1767390617.5595152,450000,-156.66224670410156
1767390630.430319,460000,-147.81593322753906
1767390648.1423597,470000,-147.96542358398438
1767390666.8944294,480000,-155.59805297851562
1767390680.239701,490000,-147.58106994628906
1767390698.7497864,500000,-141.35484313964844
1767390711.1692224,510000,-138.2344970703125
1767390729.7543402,520000,-134.71365356445312
1767390747.7989795,530000,-137.16799926757812
1767390761.5760827,540000,-140.60536193847656
1767390778.6620688,550000,-124.18566131591797
1767390798.211548,560000,-144.01600646972656
1767390811.2251723,570000,-121.12348175048828
1767390828.8260787,580000,-115.19792175292969
1767390846.7997088,590000,-131.33212280273438
1767390860.3460755,600000,-128.38201904296875
1767390879.0141063,610000,-105.52764129638672
1767390897.3779194,620000,-114.85043334960938
1767390910.08842,630000,-130.40567016601562
1767390928.269817,640000,-121.6496353149414
1767390946.6631393,650000,-98.55203247070312
1767390959.9583714,660000,-118.42611694335938
1767390978.862151,670000,-97.81574249267578
1767390990.6375005,680000,-107.03888702392578
1767391009.356451,690000,-107.82817840576172
1767391027.494922,700000,-100.68611907958984
1767391041.2398252,710000,-106.56676483154297
1767391059.7732482,720000,-109.9527587890625
1767391077.9649582,730000,-106.81105041503906
1767391088.6040854,740000,-97.30308532714844
1767391095.6961637,750000,-101.80188751220703
1767391103.06087,760000,-100.2672119140625
1767391108.4764197,770000,-99.471435546875
1767391115.567806,780000,-90.45288848876953
1767391122.9051092,790000,-104.03976440429688
1767391128.1060042,800000,-91.14410400390625
1767391135.5344336,810000,-77.36419677734375
1767391142.9009533,820000,-90.33927154541016
1767391148.2142787,830000,-84.50344848632812
1767391155.8578713,840000,-87.50532531738281
1767391160.7744575,850000,-72.53120422363281
1767391168.4051745,860000,-89.08692169189453
1767391175.8456647,870000,-92.35553741455078
