Wall time,Step,Value
1767371177.718305,10000,-431.9627990722656
1767371195.4910994,20000,-360.66943359375
1767371210.6638238,30000,-392.3865661621094
1767371231.2714286,40000,-357.9984130859375
1767371245.3232708,50000,-328.6435241699219
1767371261.8462913,60000,-293.5860595703125
1767371278.5237262,70000,-295.5735778808594
1767371294.8505788,80000,-275.64703369140625
1767371310.7130032,90000,-258.6539306640625
1767371329.280444,100000,-249.34690856933594
1767371343.7586203,110000,-233.65200805664062
1767371362.3017893,120000,-236.00430297851562
1767371382.247355,130000,-220.4540557861328
1767371393.8496194,140000,-204.72695922851562
1767371411.9676578,150000,-186.0660858154297
1767371432.0927653,160000,-171.6553497314453
1767371445.5454738,170000,-192.9434051513672
1767371463.3964245,180000,-158.85386657714844
1767371481.659983,190000,-185.72271728515625
1767371494.7336218,200000,-161.10743713378906
1767371514.496918,210000,-148.96478271484375
1767371527.8789177,220000,-159.5896453857422
1767371546.663577,230000,-148.27513122558594
1767371564.548511,240000,-145.90023803710938
1767371578.5987315,250000,-148.39346313476562
1767371596.8909125,260000,-119.4088134765625
1767371616.1386838,270000,-149.20925903320312
1767371628.8511271,280000,-115.36644744873047
1767371647.4061542,290000,-142.13546752929688
1767371666.1821985,300000,-127.56100463867188
1767371679.984768,310000,-129.48175048828125
1767371698.5848916,320000,-128.64291381835938
1767371717.3374817,330000,-123.29486846923828
1767371730.327941,340000,-108.87532806396484
1767371749.7497532,350000,-116.24701690673828
1767371768.0860221,360000,-136.0894317626953
1767371781.8329322,370000,-121.370849609375
1767371801.758678,380000,-106.27997589111328
1767371814.0245879,390000,-123.15092468261719
1767371833.4112945,400000,-120.90608978271484
1767371852.1347616,410000,-97.75096130371094
1767371865.2692945,420000,-122.49105834960938
1767371884.2350192,430000,-101.81501770019531
1767371903.7024305,440000,-102.88778686523438
1767371917.5230165,450000,-94.64962005615234
1767371935.8166337,460000,-109.06591033935547
1767371954.1350412,470000,-108.07889556884766
1767371967.9706485,480000,-83.21980285644531
1767371988.0038817,490000,-74.02210235595703
1767372006.955702,500000,-88.41914367675781
1767372020.5681775,510000,-87.64131164550781
1767372039.0766077,520000,-79.52655029296875
1767372058.9427462,530000,-64.18132019042969
1767372071.9281735,540000,-75.31487274169922
1767372092.0933895,550000,-70.21261596679688
1767372110.269629,560000,-60.889198303222656
1767372124.9222245,570000,-60.23257064819336
1767372143.4437408,580000,-53.90964126586914
1767372159.1158993,590000,-52.23014831542969
1767372177.783512,600000,-55.46113204956055
1767372197.2255087,610000,-47.539459228515625
1767372212.27207,620000,-43.49127197265625
1767372231.3180482,630000,-43.558555603027344
1767372251.610688,640000,-51.44078826904297
1767372263.2020912,650000,-49.75935745239258
1767372270.9956744,660000,-41.10114288330078
1767372278.5251322,670000,-36.39560317993164
1767372284.3498783,680000,-35.527732849121094
1767372291.3703206,690000,-34.70963668823242
1767372299.6288397,700000,-35.697349548339844
1767372305.019068,710000,-38.723533630371094
1767372312.6190653,720000,-30.886770248413086
1767372320.8190174,730000,-25.461956024169922
1767372326.1279304,740000,-29.161409378051758
1767372333.766734,750000,-26.728899002075195
1767372339.711686,760000,-25.184123992919922
1767372347.464502,770000,-24.987672805786133
1767372355.227392,780000,-26.340744018554688
1767372360.8332777,790000,-23.610641479492188
1767372368.9609864,800000,-23.39982032775879
1767372378.4793935,810000,-20.792964935302734
1767372384.1327467,820000,-20.947961807250977
1767372392.292093,830000,-21.24434471130371
1767372400.1037488,840000,-19.748437881469727
1767372405.7529438,850000,-21.666282653808594
1767372413.7547688,860000,-20.010530471801758
1767372421.8165739,870000,-18.123382568359375
1767372427.6111636,880000,-19.344345092773438
1767372435.631295,890000,-16.627670288085938
1767372443.471267,900000,-17.983924865722656
1767372449.4663315,910000,-16.11960220336914
1767372457.6373982,920000,-17.229846954345703
1767372481.3306801,930000,-15.514304161071777
1767372498.5078807,940000,-17.496875762939453
1767372521.5218055,950000,-15.740945816040039
1767372538.7958162,960000,-15.813626289367676
1767372562.6162963,970000,-14.654679298400879
1767372586.4543443,980000,-13.488652229309082
1767372605.6620874,990000,-13.684748649597168
1767372628.6660988,1000000,-14.26031494140625
1767372653.021347,1010000,-13.202656745910645
1767372671.0999963,1020000,-13.920684814453125
1767372695.6151476,1030000,-12.008371353149414
1767372718.9834518,1040000,-13.54382610321045
1767372737.8710105,1050000,-13.367846488952637
1767372761.8984685,1060000,-12.541943550109863
1767372786.7098057,1070000,-11.387639045715332
1767372806.1617799,1080000,-11.064839363098145
1767372830.9620535,1090000,-11.815135955810547
1767372855.2472079,1100000,-11.567704200744629
1767372874.5514703,1110000,-12.350645065307617
1767372898.628826,1120000,-12.502779960632324
1767372924.012995,1130000,-10.57882022857666
1767372943.73765,1140000,-11.39530086517334
1767372968.9587395,1150000,-10.427005767822266
1767372989.2808745,1160000,-10.288786888122559
1767373015.555707,1170000,-11.044066429138184
1767373042.1125464,1180000,-10.487299919128418
1767373062.5178723,1190000,-10.467827796936035
1767373089.0956733,1200000,-10.435490608215332
1767373115.757058,1210000,-9.871134757995605
1767373136.2551234,1220000,-9.973297119140625
1767373161.9316504,1230000,-9.911567687988281
1767373187.6735454,1240000,-9.72790813446045
1767373208.477841,1250000,-10.064868927001953
1767373233.7671504,1260000,-10.519471168518066
1767373259.5845394,1270000,-9.854194641113281
1767373280.410215,1280000,-9.532604217529297
1767373307.0154755,1290000,-9.541825294494629
1767373331.45605,1300000,-11.207666397094727
1767373351.8343194,1310000,-10.274175643920898
1767373377.4134793,1320000,-9.563932418823242
1767373397.8087463,1330000,-9.892660140991211
1767373423.8446162,1340000,-9.380046844482422
1767373450.2082546,1350000,-8.932446479797363
1767373470.6556158,1360000,-9.75959300994873
1767373497.1641374,1370000,-8.981990814208984
1767373522.4470367,1380000,-9.879010200500488
1767373543.7651665,1390000,-8.934629440307617
1767373569.6459582,1400000,-9.25216293334961
1767373596.127711,1410000,-8.95986557006836
1767373617.5524616,1420000,-8.837716102600098
1767373643.2472622,1430000,-9.477911949157715
1767373669.6894834,1440000,-9.216529846191406
1767373691.1463218,1450000,-8.831700325012207
1767373717.6510053,1460000,-8.560476303100586
1767373744.2331667,1470000,-8.882400512695312
1767373765.5059946,1480000,-8.772663116455078
1767373791.9454262,1490000,-9.072822570800781
1767373818.4228375,1500000,-8.616020202636719
1767373839.7467387,1510000,-8.792037963867188
1767373866.5135696,1520000,-8.627718925476074
1767373887.6065397,1530000,-8.878366470336914
1767373914.3255084,1540000,-8.503305435180664
1767373941.0044944,1550000,-8.200102806091309
1767373962.225313,1560000,-9.21606731414795
1767373988.8424883,1570000,-8.314952850341797
1767374015.5025616,1580000,-8.516583442687988
1767374036.6744692,1590000,-8.435677528381348
1767374063.575449,1600000,-8.728503227233887
1767374090.3282716,1610000,-8.539512634277344
1767374103.8787265,1620000,-8.638777732849121
1767374113.091727,1630000,-8.278965950012207
1767374122.430954,1640000,-8.473546028137207
1767374129.2030022,1650000,-8.907325744628906
1767374138.112504,1660000,-8.318924903869629
1767374146.9705982,1670000,-8.849895477294922
1767374153.6735616,1680000,-8.291584014892578
1767374162.295064,1690000,-8.740815162658691
1767374171.1802466,1700000,-7.894686698913574
1767374177.9254556,1710000,-8.319010734558105
1767374186.9329503,1720000,-8.562405586242676
1767374193.5660474,1730000,-8.001447677612305
1767374202.4780765,1740000,-8.328810691833496
1767374211.3781831,1750000,-7.776944160461426
1767374218.0088432,1760000,-8.113560676574707
1767374226.63641,1770000,-8.539050102233887
1767374235.6663325,1780000,-8.068056106567383
1767374242.2478008,1790000,-8.085783004760742
1767374251.3796272,1800000,-7.682910919189453
1767374260.3383348,1810000,-8.435527801513672
1767374266.981932,1820000,-8.019906044006348
1767374275.9371943,1830000,-8.187052726745605
1767374284.6562486,1840000,-8.69216537475586
1767374291.2616553,1850000,-7.899013519287109
1767374300.1215591,1860000,-7.789804935455322
1767374309.001479,1870000,-7.994361877441406
1767374315.3762152,1880000,-8.437288284301758
1767374324.3976197,1890000,-7.743773460388184
1767374333.1446688,1900000,-8.14472484588623
1767374339.8817313,1910000,-7.686391830444336
1767374348.4051852,1920000,-8.20251178741455
1767374354.923754,1930000,-7.86604118347168
1767374363.7426567,1940000,-7.716519832611084
1767374372.527901,1950000,-7.995166778564453
1767374378.9634736,1960000,-8.071160316467285
1767374387.735774,1970000,-7.744063377380371
1767374396.6935632,1980000,-7.645751476287842
1767374403.4513426,1990000,-7.415794849395752
1767374412.141731,2000000,-7.563857078552246
