Wall time,Step,Value
1767555568.162705,20000,867.283935546875
1767555571.5885792,30000,832.7142944335938
1767555578.8247437,40000,899.4400024414062
1767555586.594818,50000,799.1445922851562
1767555590.108121,60000,801.2653198242188
1767555596.9552257,70000,828.6206665039062
1767555605.1578434,80000,785.0958862304688
1767555608.4755554,90000,756.8095092773438
1767555615.8443456,100000,733.45654296875
1767555623.0967102,110000,815.1857299804688
1767555627.0097473,120000,678.1944580078125
1767555634.6287196,130000,642.9000244140625
1767555641.8506706,140000,627.6461791992188
1767555646.5061722,150000,543.5454711914062
1767555653.257218,160000,568.1132202148438
1767555658.0937138,170000,533.2459106445312
1767555664.8888724,180000,375.71429443359375
1767555671.9559743,190000,444.3448181152344
1767555676.3842478,200000,402.0178527832031
1767555683.2299442,210000,559.5238037109375
1767555690.4917223,220000,339.9552307128906
1767555694.8750951,230000,395.70001220703125
1767555702.005024,240000,352.0769348144531
1767555708.6882143,250000,475.1206970214844
1767555713.3444147,260000,455.0888977050781
1767555720.5592258,270000,419.8653869628906
1767555727.3744552,280000,389.9836120605469
1767555731.9009788,290000,301.04254150390625
1767555739.0802104,300000,411.9464416503906
1767555745.7210617,310000,383.9473571777344
1767555750.5286343,320000,223.72093200683594
1767555757.4788535,330000,227.23214721679688
1767555762.0895555,340000,249.54347229003906
1767555769.560146,350000,285.75408935546875
1767555775.9207919,360000,308.9166564941406
1767555781.03966,370000,200.8627471923828
1767555787.9946163,380000,277.8360595703125
1767555794.663751,390000,229.9574432373047
1767555799.7252924,400000,236.11538696289062
1767555806.6347256,410000,256.2363586425781
1767555813.2443008,420000,232.5
1767555818.0387068,430000,320.5869445800781
1767555825.0438416,440000,313.2592468261719
1767555832.1660287,450000,215.30357360839844
1767555836.9997053,460000,204.5
1767555844.0625968,470000,276.4375
1767555850.8572834,480000,144.1052703857422
1767555855.7093968,490000,255.4042510986328
1767555862.662973,500000,208.63636779785156
1767555867.8953567,510000,296.6956481933594
1767555875.115132,520000,202.74575805664062
1767555881.5147574,530000,201.10000610351562
1767555886.4326663,540000,229.3265380859375
1767555893.3730986,550000,251.60377502441406
1767555900.0758538,560000,265.0
1767555905.0968428,570000,226.90196228027344
1767555912.0588763,580000,251.12765502929688
1767555919.2728732,590000,253.5263214111328
1767555923.6844478,600000,290.46807861328125
1767555931.0066252,610000,218.86538696289062
1767555937.9812179,620000,179.8235321044922
1767555942.874384,630000,182.65306091308594
1767555949.6957717,640000,237.89285278320312
1767555956.6887987,650000,249.88372802734375
1767555961.8525271,660000,235.59259033203125
1767555968.5293846,670000,267.0769348144531
1767555973.366569,680000,232.11538696289062
1767555980.3067257,690000,238.5957489013672
1767555987.1945772,700000,161.71153259277344
1767555991.6997292,710000,205.52174377441406
1767555998.9887266,720000,258.6226501464844
1767556005.735517,730000,254.05357360839844
1767556010.3900068,740000,131.25
1767556017.4540358,750000,306.9433898925781
1767556024.4129934,760000,222.5833282470703
1767556029.203133,770000,151.5
1767556035.9983494,780000,316.8333435058594
1767556042.9991157,790000,218.32000732421875
1767556047.858988,800000,281.2244873046875
1767556054.9255083,810000,263.5094299316406
1767556061.651924,820000,217.0188751220703
1767556066.291831,830000,274.5555419921875
1767556073.5015643,840000,256.0
1767556078.4198132,850000,199.5892791748047
1767556084.9593942,860000,175.1904754638672
1767556092.036822,870000,219.86666870117188
1767556096.5313594,880000,153.8478240966797
1767556103.651461,890000,119.46666717529297
1767556110.5643094,900000,168.56060791015625
1767556115.1922925,910000,141.46153259277344
1767556122.6165729,920000,202.74073791503906
1767556128.8739588,930000,178.72549438476562
1767556133.8457525,940000,163.5625
1767556140.641921,950000,118.96154022216797
1767556147.751084,960000,208.8333282470703
1767556152.7108076,970000,253.48147583007812
1767556159.5580661,980000,226.55555725097656
1767556166.0045943,990000,251.51063537597656
1767556171.240072,1000000,227.69564819335938
1767556178.2802427,1010000,144.57627868652344
1767556184.9487345,1020000,333.4186096191406
1767556189.835252,1030000,298.125
1767556196.983503,1040000,177.36842346191406
1767556201.602536,1050000,135.1999969482422
1767556208.5499632,1060000,190.25
1767556215.799572,1070000,222.36207580566406
1767556220.5443985,1080000,196.4081573486328
1767556227.2953558,1090000,133.2916717529297
1767556234.024112,1100000,166.17308044433594
1767556238.8785362,1110000,186.425537109375
1767556245.8604765,1120000,268.6666564941406
1767556252.4795916,1130000,137.32000732421875
1767556257.373639,1140000,132.67999267578125
1767556263.9979758,1150000,272.551025390625
1767556270.8835123,1160000,208.64706420898438
1767556275.6973152,1170000,167.84445190429688
1767556282.8167892,1180000,109.0
1767556289.3212981,1190000,149.52000427246094
1767556294.4079864,1200000,253.8000030517578
1767556301.5699248,1210000,97.54838562011719
1767556306.0113761,1220000,72.82221984863281
1767556313.0921981,1230000,104.57447052001953
1767556320.0735927,1240000,187.4727325439453
1767556324.7721725,1250000,336.313720703125
1767556331.6083384,1260000,163.2653045654297
1767556338.3690307,1270000,177.875
1767556343.5225356,1280000,104.04000091552734
1767556350.3441007,1290000,152.15383911132812
1767556357.0495355,1300000,157.89999389648438
1767556361.9231274,1310000,93.9795913696289
1767556368.865723,1320000,230.8627471923828
1767556375.8516703,1330000,127.32075500488281
1767556380.6643386,1340000,109.20930480957031
1767556387.9036036,1350000,195.38597106933594
1767556394.6088948,1360000,147.97999572753906
1767556399.6336498,1370000,264.375
1767556406.5518239,1380000,277.3333435058594
1767556411.428378,1390000,181.7142791748047
1767556418.1121385,1400000,155.72549438476562
1767556425.0987642,1410000,180.5102081298828
1767556429.9027884,1420000,200.01785278320312
1767556436.7013316,1430000,158.92857360839844
1767556443.8272083,1440000,217.12245178222656
1767556448.643781,1450000,251.76364135742188
1767556455.4874835,1460000,292.7234191894531
1767556462.371464,1470000,230.57691955566406
1767556467.3370612,1480000,263.4791564941406
1767556473.9487176,1490000,274.87274169921875
1767556480.8167927,1500000,182.0454559326172
1767556486.1466777,1510000,140.0
1767556492.9098487,1520000,238.9803924560547
1767556499.8171103,1530000,168.20408630371094
1767556504.6326292,1540000,206.75
1767556511.5116913,1550000,187.98147583007812
1767556516.37987,1560000,257.6326599121094
1767556523.2957199,1570000,162.39999389648438
1767556530.1290452,1580000,132.4791717529297
1767556535.1875713,1590000,139.36000061035156
1767556542.111598,1600000,153.0181884765625
1767556549.031602,1610000,70.75555419921875
1767556553.916958,1620000,102.7450942993164
1767556560.780794,1630000,143.7142791748047
1767556567.6610427,1640000,84.81999969482422
1767556572.5807278,1650000,117.94339752197266
1767556579.4016798,1660000,111.40816497802734
1767556586.4987326,1670000,33.5
1767556591.3747144,1680000,61.020408630371094
1767556598.2426133,1690000,100.63461303710938
1767556605.1341238,1700000,76.2264175415039
1767556609.7554479,1710000,119.66666412353516
1767556617.0361621,1720000,82.17391204833984
1767556621.6197796,1730000,105.125
1767556628.619992,1740000,101.13333129882812
1767556636.1807134,1750000,69.63793182373047
1767556640.498149,1760000,52.09756088256836
1767556647.6157036,1770000,62.16363525390625
1767556654.2858593,1780000,115.29412078857422
1767556659.4702902,1790000,81.8125
1767556666.4010136,1800000,91.43636322021484
1767556673.1641352,1810000,141.19564819335938
1767556678.3204389,1820000,67.36000061035156
1767556685.4273381,1830000,110.3396224975586
1767556692.1324782,1840000,135.0
1767556696.7908728,1850000,38.63829803466797
1767556704.2676523,1860000,87.31481170654297
1767556710.9795456,1870000,68.5625
1767556715.8070204,1880000,29.559999465942383
1767556722.6939335,1890000,63.6363639831543
1767556729.439842,1900000,51.065216064453125
1767556734.5940409,1910000,87.9148941040039
1767556741.5275226,1920000,98.63636016845703
1767556746.4174633,1930000,92.7872314453125
1767556753.5270343,1940000,51.54901885986328
1767556760.6431363,1950000,78.27999877929688
1767556765.407005,1960000,91.79244995117188
1767556772.3143854,1970000,70.34782409667969
1767556779.3241515,1980000,31.26785659790039
1767556784.028691,1990000,68.86046600341797
1767556791.3211265,2000000,50.64285659790039
